emp_no,first_name,last_name,hire_date,birth_date
10001,Georgi,Facello,1986-06-26,1953-09-02
10004,Chirstian,Koblick,1986-12-01,1954-05-01
10009,Sumant,Peac,1985-02-18,1952-04-19
10018,Kazuhide,Peha,1987-04-03,1954-06-19
10035,Alain,Chappelet,1988-09-05,1953-02-08
10053,Sanjiv,Zschoche,1986-02-04,1954-09-13
10058,Berhard,McFarlin,1987-04-13,1954-10-01
10066,Kwee,Schusler,1986-02-26,1952-11-13
10067,Claudi,Stavenow,1987-03-04,1953-01-07
10070,Reuven,Garigliano,1985-10-14,1955-08-20
10072,Hironoby,Sidou,1988-07-21,1952-05-15
10076,Erez,Ritzmann,1985-07-09,1952-06-13
10088,Jungsoon,Syrzycki,1988-09-02,1954-02-25
10100,Hironobu,Haraldson,1987-09-21,1953-04-21
10103,Akemi,Birch,1986-12-02,1953-11-26
10108,Lunjin,Giveon,1986-10-02,1952-04-07
10116,Dayanand,Czap,1985-05-28,1955-08-26
10126,Kayoko,Valtorta,1985-09-08,1954-08-07
10129,Armond,Peir,1985-12-10,1955-12-02
10130,Nishit,Casperson,1988-06-21,1955-04-27
10134,Diederik,Siprelle,1987-12-12,1953-04-15
10138,Perry,Shimshoni,1986-09-18,1955-04-24
10149,Xiadong,Perry,1986-11-05,1953-05-20
10150,Zhenbing,Perng,1986-11-16,1955-01-29
10152,Jaques,Munro,1986-01-27,1954-12-01
10153,Heekeun,Majewski,1987-04-08,1955-12-15
10157,Nigel,Aloisi,1985-11-02,1954-04-23
10161,Hairong,Mellouli,1988-04-03,1953-04-06
10186,Shigehito,Kropatsch,1986-03-28,1953-07-16
10198,Pranav,Furedi,1985-08-31,1953-05-28
10215,Xiaobin,Duclos,1987-10-19,1954-04-02
10217,Yongmin,Roison,1986-05-12,1954-07-07
10224,Leon,Trogemann,1988-01-09,1954-05-17
10229,Ulises,Takanami,1987-11-22,1952-02-10
10233,Lein,Vendrig,1985-07-05,1954-04-01
10258,Basil,Ishibashi,1985-05-17,1955-12-12
10272,Yishai,Cannane,1988-05-23,1954-11-30
10282,Hercules,Benzmuller,1986-06-04,1953-11-27
10283,Kauko,Birjandi,1988-05-25,1953-07-08
10286,Saddek,Gopalakrishnan,1988-03-21,1952-05-14
10302,Faiza,Baer,1986-07-22,1954-10-11
10305,Hirochika,Piancastelli,1988-10-31,1952-06-30
10326,Masali,Czap,1985-05-13,1953-02-13
